iter	Passed	Remaining
859	4870	792
860	4875	787
861	4880	781
862	4885	775
863	4890	769
864	4895	764
865	4901	758
866	4906	752
867	4911	746
868	4916	741
869	4922	735
870	4927	729
871	4932	724
872	4937	718
873	4942	712
874	4947	706
875	4952	701
876	4959	695
877	4965	690
878	4970	684
879	4975	678
880	4981	672
881	4986	667
882	4991	661
883	4996	655
884	5001	649
885	5006	644
886	5012	638
887	5017	632
888	5022	627
889	5027	621
890	5032	615
891	5037	609
892	5042	604
893	5048	598
894	5053	592
895	5058	587
896	5063	581
897	5070	575
898	5076	570
899	5081	564
900	5087	559
901	5092	553
902	5097	547
903	5102	541
904	5108	536
905	5113	530
906	5118	524
907	5123	519
908	5129	513
909	5134	507
910	5139	502
911	5144	496
912	5149	490
913	5154	485
914	5159	479
915	5164	473
916	5170	467
917	5175	462
918	5180	456
919	5185	450
920	5191	445
921	5196	439
922	5201	433
923	5206	428
924	5211	422
925	5216	416
926	5221	411
927	5227	405
928	5231	399
929	5237	394
930	5242	388
931	5248	382
932	5253	377
933	5258	371
934	5263	365
935	5268	360
936	5274	354
937	5279	348
938	5284	343
939	5291	337
940	5296	332
941	5301	326
942	5307	320
943	5312	315
944	5317	309
945	5323	303
946	5328	298
947	5333	292
948	5338	286
949	5343	281
950	5348	275
951	5353	269
952	5358	264
953	5363	258
954	5369	252
955	5374	247
956	5380	241
957	5385	236
958	5391	230
959	5397	224
960	5402	219
961	5407	213
962	5412	207
963	5417	202
964	5422	196
965	5427	191
966	5432	185
967	5437	179
968	5443	174
969	5447	168
970	5453	162
971	5458	157
972	5463	151
973	5468	145
974	5474	140
975	5478	134
976	5484	129
977	5489	123
978	5494	117
979	5501	112
980	5506	106
981	5511	101
982	5516	95
983	5522	89
984	5527	84
985	5532	78
986	5538	72
987	5543	67
988	5548	61
989	5553	56
990	5558	50
991	5563	44
992	5568	39
993	5573	33
994	5578	28
995	5583	22
996	5588	16
997	5593	11
998	5598	5
999	5603	0
